Last     |  Screen Name      |  Followers           |  Statuses |  Creation |  Name                                                |  description                                                                                                                                                                                            |  URL

2019:12  |  historyfellow    |  4111                |  840      |  2014:09  |  Brian Balogh                                        |  Host of @BackStoryRadio and @UVA history professor. Tweets are my own. RTs  endorsements.                                                                                                              |  https://backstoryradio.org/
2020:11  |  williamchafe1    |  921                 |  5        |  2016:01  |  William H. Chafe                                    |  Alice Mary Baldwin Professor Emeritus of History at Duke University. Author of (most recently) Hillary and Bill: The Clintons and the Politics of the Personal.                                        |  https://history.duke.edu/people/william-h-chafe
2021:02  |  isaac_campos     |  779                 |  1575     |  2009:07  |  Isaac Campos                                        |  History professor, drug scholar, and author of *Home Grown: Marijuana and the Origins of Mexicos War on Drugs* (UNC Press, 2012)                                                                       |  https://researchdirectory.uc.edu/p/camposip
2021:03  |  MarcoScirea      |  259                 |  334      |  2015:02  |  Marco Scirea                                        |  Assistant professor at the University of Southern Denmark, working on Procedural Music Generation with a focus on Affective Expression                                                                 |  https://marcoscirea.com/
2021:04  |  adhd_professor   |  1055                |  1870     |  2016:02  |  distracted academic                                 |  prof with #adhd #dyslexia #phdproblems #neurodiversity #diversityinSTEM                                                                                                                                |  No url
2021:04  |  allison_horst    |  18988               |  3119     |  2018:03  |  Allison Horst                                       |  Assistant teaching professor (environmental data science) @brenucsb @ucsantabarbara. PhD EnvSci. She/her. Opinions my own.                                                                             |  https://github.com/allisonhorst/stats-illustrations
2021:04  |  alt254           |  1533                |  4798     |  2010:11  |  Patrick LeMieux                                     |  Media artist, game designer, and assistant professor at UC Davis. Co-author of Metagaming w/ @chouxsalad: https://t.co/5cVG6MZg4m                                                                      |  https://patrick-lemieux.com/
2021:04  |  andre_spicer     |  8343                |  10221    |  2011:05  |  Andr Spicer                                         |  Professor of Organizational Behaviour, Business School (Formerly Cass), City, University of London. Head of the Faculty of Management.                                                                 |  https://sites.google.com/site/andrespicer/home
2021:04  |  annetropy        |  1749                |  5450     |  2009:04  |  Dr. Anne Sullivan                                   |  Assistant Professor, Digital Media@Georgia Tech. Artist/crafter/cat furniture/programmer/dog bed/maker of weird games.  I don't speak for my employer.  she/they                                       |  https://www.asdesigned.com/
2021:04  |  Anthrofuentes    |  6759                |  22141    |  2016:07  |  Agustin Fuentes                                     |  Professor of Anthropology @Princeton,  Author of #TheCreativeSpark and #WhyWeBelieveEvolutionandtheHumanWayofBeing                                                                                     |  https://www.afuentes.com/
2021:04  |  aparrish         |  9294                |  14849    |  2007:06  |  Allison Parrish | @aparrish@friend.camp             |  Creative writing w/procedural methods. Assistant Arts Professor at @ITP_NYU, co-creator of @rewordable. I'm on Mastodon: https://t.co/5X3w69aLlW she/her                                               |  https://www.decontextualize.com/
2021:04  |  AustinMcCoy3     |  5461                |  26117    |  2012:05  |  Austin McCoy                                        |  Historian, Assistant Professor, Old School Rap Specialist. Writing book on history of the Left in Midwest after 1967. Hello Kitty fan. He/Him                                                          |  https://linktr.ee/ausmccoy
2021:04  |  bdjones_jones    |  963                 |  6550     |  2014:10  |  Bryan Jones                                         |  Government Professor, University of Texas at Austin                                                                                                                                                    |  No url
2021:04  |  BrianWard222     |  2689                |  1738     |  2018:02  |  Brian Ward                                          |  Professor in American Studies, Northumbria University; working on She Loves Y'all - a book about the Beatles & the US South; long-suffering West Ham fan                                               |  No url
2021:04  |  colinrtalbot     |  16422               |  124641   |  2010:04  |  Prof Colin Talbot                                   |  Public Administration & Services. Progressive. Federalist. Professor of Government (Emeritus) Manchester. Born: Dover (that's my Castle).                                                              |  https://www.research.manchester.ac.uk/portal/colin.r.talbot.html
2021:04  |  D_Kuehn          |  2398                |  31558    |  2012:09  |  Daniel Kuehn                                        |  Senior Research Associate, the Urban Institute Adjunct Professor, GWU AU Econ PhD Apprenticeship, history of economics Black Lives Matter Views are my own!                                            |  No url
2021:04  |  DarrickHamilton  |  39135               |  34250    |  2011:12  |  Darrick Hamilton                                    |  Henry Cohen Professor of Economics and Urban Policy; University Professor; and Director, Institute on Race and Political Economy @TheNewSchool                                                         |  https://www.newschool.edu/institute-race-political-economy/
2021:04  |  DaveASiegel      |  1572                |  733      |  2013:10  |  David A Siegel                                      |  Political scientist; recovering physicist; analyzer of group behavior; professor of political science and public policy at @DukeU                                                                      |  No url
2021:04  |  David_Gunkel     |  5851                |  14450    |  2013:02  |  David J. Gunkel                                     |  Professor - Northern Illinois University (USA). Author of Thinking Otherwise, The Machine Question, Of Remixology, Gaming the System, and Robot Rights.                                                |  https://t.co/m31Wd8wztC
2021:04  |  debcha           |  10889               |  93428    |  2008:09  |  Deb Chachra                                         |  Engineering professor. Infrastructure, nature, education, language, design, intersections. She/her/hers. All enthusiasm is 100% genuine. I block mansplainers.                                         |  https://tinyletter.com/metafoundry
2021:04  |  doctorSdS        |  945                 |  610      |  2012:06  |  Filippo Santoni                                     |  Santoni de Sio to be exact | Associate Professor #Ethics #Philosophy of #Technology @TUdelft | tweets #meaningfulhumancontrol #ResponsibleAI | La vita  altrove                                        |  No url
2021:04  |  Dr_Inna          |  34844               |  1632     |  2009:06  |  Inna Kanevsky                                       |  Professor of Psychology at San Diego Mesa college, with a behavior analysis specialty and a variety of nerdy interests and hobbies. Ex-Soviet refugee. She/her.                                        |  https://linktr.ee/dr_inna
2021:04  |  DrPhilGoff       |  55598               |  44432    |  2013:11  |  Phillip Atiba Goff                                  |  For media: comms@policingequity.org, not DMs. #JusticeNerd . CEO @policingequity. Prince . Philly . Professor @yale. He/him. Opinions=mine.                                                            |  https://www.policingequity.org/
2021:04  |  edwardrcarr      |  3337                |  14363    |  2010:12  |  Ed Carr                                             |  Professor+Director @ClarkIDCE|Founder @hurdltweet|adaptation @STAPGEF|@IPCC_CH AR6 LA|Masters T&F All-American|Hopelessly realistic optimist|Last two=redundant                                        |  https://www.edwardrcarr.com/
2021:04  |  EdwardTufte      |  109077              |  12086    |  2010:06  |  Edward Tufte                                        |  Statistician,visualizer,artist, professor. Founded Graphics Press, Hogpen Hill Farms, ET Modern Gallery                                                                                                |  https://edwardtufte.com/
2021:04  |  emilymbender     |  20923               |  19642    |  2010:07  |  Emily M. Bender                                     |  Professor, Linguistics, University of Washington // Faculty Director, Professional MS Program in Computational Linguistics (CLMS) // she/her                                                           |  https://faculty.washington.edu/ebender
2021:04  |  etzioni          |  25988               |  6936     |  2009:04  |  Oren Etzioni                                        |  CEO, AIlen Institute for AI (AI2). Professor Emeritus, UW; Venture Partner, Madrona. https://t.co/TqO84WeA9I                                                                                           |  https://www.allenai.org/
